FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
MGFF11,FUNDO DE FUNDOS,"69,99","2.558.695,75","0,95","0,52","0,75 %","2,33 %","4,69 %","10,14 %","0,78 %","0,78 %","0,85 %","9,27 %","6,91 %","7,71 %","29,95 %","669.821.915,85","74,01","0,95","0,70 %","3,22 %","3,95 %","0,54 %",0,"13,74",44.511,N/A,N/A,N/A
MGHT11,HOTÉIS,"47,50","104.647,24","0,56","0,52","1,13 %","3,22 %","6,19 %","13,98 %","1,07 %","1,03 %","1,17 %","12,84 %","3,09 %","4,25 %","-8,53 %","113.199.231,98","86,16","0,55","0,60 %","0,68 %","1,29 %","-4,19 %",1,"26,01",4.579,N/A,N/A,N/A
MGLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"40,99","55.314,19","0,55","0,35","0,86 %","2,58 %","4,56 %","11,69 %","0,86 %","0,76 %","0,97 %","0,86 %","-3,60 %","-2,77 %","-2,77 %","116.088.485,68","61,55","0,67","0,57 %","57,54 %","58,43 %","-18,62 %",2,"27,79",3.712,N/A,N/A,N/A
MGRI11,INDEFINIDO,N/A,N/A,N/A,"1,44","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"23.362.123,37",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,1,N/A,N/A,N/A
MINT11,EDUCACIONAL,"99,87","23.656,00","0,75","1,30","1,30 %","1,30 %","1,30 %","1,30 %","1,30 %","1,30 %","1,30 %","1,30 %","0,00 %","0,00 %",N/A,"69.621.644,29",N/A,N/A,N/A,N/A,N/A,N/A,3,"49,14",82,N/A,N/A,N/A
MMPD11,INDEFINIDO,N/A,N/A,N/A,"3,62","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"60.675.624,14",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,55,N/A,N/A,N/A
MORC11,PAPÉIS,"88,52","1.154.203,86","0,89","0,94","1,11 %","3,47 %","7,02 %","14,22 %","1,16 %","1,17 %","1,19 %","13,07 %","-3,66 %","-2,59 %","1,01 %","189.158.760,49","99,15","0,89","0,95 %","1,57 %","2,53 %","7,82 %",0,"11,36",8.409,N/A,N/A,N/A
MORE11,FUNDO DE FUNDOS,"76,77","604.615,57","0,87","0,70","0,91 %","2,58 %","5,08 %","10,73 %","0,86 %","0,85 %","0,89 %","9,01 %","4,57 %","5,52 %","29,48 %","201.465.359,12","84,06","0,91","0,83 %","1,49 %","2,33 %","-0,39 %",0,"16,76",18.354,N/A,N/A,N/A
MXRF11,PAPÉIS,"10,59","12.815.083,86","1,07","0,11","1,04 %","3,09 %","6,20 %","12,97 %","1,03 %","1,03 %","1,08 %","12,97 %","-1,31 %","-0,28 %","19,18 %","2.555.879.203,79","9,86","1,07","1,12 %","-2,47 %","-1,38 %","4,37 %",3,"9,06",999.290,N/A,N/A,N/A
NAVT11,PAPÉIS,"93,28","305.721,33","0,98","1,60","1,87 %","4,56 %","7,78 %","14,64 %","1,52 %","1,30 %","1,22 %","13,49 %","-0,37 %","1,49 %","32,39 %","58.198.112,34","95,05","0,98","1,68 %","6,11 %","7,89 %","9,13 %",0,"21,66",1.816,N/A,N/A,N/A
NCHB11,PAPÉIS,"84,03","584.538,48","0,93","0,85","1,04 %","2,93 %","6,13 %","13,75 %","0,98 %","1,02 %","1,15 %","12,59 %","1,10 %","2,15 %","2,67 %","153.980.581,25","90,69","0,93","0,94 %","1,22 %","2,17 %","5,96 %",0,"12,60",10.952,N/A,N/A,N/A
NCRA11,INDEFINIDO,"10,64","302.458,24","1,00","0,11","1,07 %","3,66 %","7,77 %","17,92 %","1,22 %","1,30 %","1,49 %","14,88 %","1,15 %","2,24 %","26,11 %","47.075.546,76","10,56","1,01","1,07 %","0,00 %","0,00 %","0,00 %",0,"11,73",9.617,N/A,N/A,N/A
NCRI11,PAPÉIS,"9,45","3.314,33","0,88","0,10","1,11 %","2,75 %","5,32 %","9,83 %","0,92 %","0,89 %","0,89 %","9,83 %","1,36 %","2,48 %","2,35 %","40.481.984,92",N/A,N/A,N/A,N/A,N/A,N/A,0,"31,39",656,N/A,N/A,N/A
NEWL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"118,23","1.175.303,76","0,84","1,30","1,14 %","2,89 %","5,45 %","11,37 %","0,96 %","0,91 %","0,95 %","11,37 %","5,08 %","6,28 %","31,37 %","278.828.374,51","137,14","0,86","0,69 %","14,20 %","14,99 %","31,23 %",3,"11,68",3.876,N/A,N/A,N/A
NEWU11,LAJES CORPORATIVAS,"77,05","236.592,22","1,13","0,60","0,76 %","1,27 %","2,08 %","3,26 %","0,42 %","0,35 %","0,27 %","3,26 %","-5,94 %","-5,23 %","85,90 %","51.958.999,99","70,03","1,10","0,29 %","0,60 %","0,89 %","8,12 %",3,"28,68",1.421,N/A,N/A,N/A
NSLU11,HOSPITALAR,"194,00","646.020,19","0,96","1,55","0,80 %","2,43 %","4,90 %","10,33 %","0,81 %","0,82 %","0,86 %","10,33 %","0,25 %","1,05 %","29,50 %","260.470.559,69","201,40","0,96","0,77 %","1,25 %","2,03 %","8,26 %",1,"16,56",6.112,N/A,N/A,N/A
NVHO11,HOSPITALAR,"11,95","1.224,95","0,84","0,08","0,70 %","2,18 %","4,45 %","9,01 %","0,73 %","0,74 %","0,75 %","9,01 %","5,76 %","6,50 %","30,50 %","581.811.505,42","14,02","0,85","0,60 %","0,50 %","1,10 %","18,30 %",4,"45,66",2.179,N/A,N/A,N/A
NVIF11B,FUNDO DE DESENVOLVIMENTO,"227,50",N/A,"0,60","0,89","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"128.945.564,47","382,17","0,60","0,23 %","22,31 %","22,60 %","52,71 %",2,N/A,7,N/A,N/A,N/A
OCRE11,PAPÉIS,"102,51","33.412,19","1,02","0,77","0,76 %","1,97 %","2,64 %","2,64 %","0,66 %","0,88 %","0,88 %","2,64 %","-0,48 %","0,28 %","1,75 %","28.856.101,56",N/A,N/A,N/A,N/A,N/A,N/A,0,"7,40",444,N/A,N/A,N/A
OGHY11,INDEFINIDO,"8,79","60.606,19","0,96","0,09","0,99 %","2,74 %","6,53 %","11,67 %","0,91 %","1,09 %","1,30 %","11,67 %","-8,84 %","-7,93 %","-1,28 %","25.483.469,49",N/A,N/A,N/A,N/A,N/A,N/A,0,"14,41",1.409,N/A,N/A,N/A
OIAG11,INDEFINIDO,"9,03","386.741,10","0,92","0,11","1,22 %","3,81 %","7,63 %","15,97 %","1,27 %","1,27 %","1,33 %","14,47 %","-3,83 %","-2,66 %","-2,00 %","87.997.800,76","9,74","0,93","1,13 %","0,00 %","0,00 %","0,00 %",0,"15,79",12.042,N/A,N/A,N/A
ONEF11,LAJES CORPORATIVAS,"200,03","114.431,47","0,85","32,50","0,00 %","1,01 %","2,55 %","5,84 %","0,34 %","0,43 %","0,49 %","5,84 %","0,00 %","0,00 %",N/A,"215.584.280,58","236,65","0,85","0,43 %","17,48 %","17,99 %","43,81 %",1,"17,44",2.637,N/A,N/A,N/A
OPTM11,MISTO,N/A,N/A,N/A,"1,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"11.083.587,15",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,63,N/A,N/A,N/A
ORPD11,FUNDO DE DESENVOLVIMENTO,"93,00","402,75","0,64","1,38","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"42.270.639,15","124,68","0,75","1,11 %","0,95 %","2,06 %","2,06 %",0,"24,80",6,N/A,N/A,N/A
OUFF11,FUNDO DE FUNDOS,"72,00","221.778,52","0,99","0,70","1,01 %","3,06 %","6,01 %","12,65 %","1,02 %","1,00 %","1,05 %","11,56 %","-2,14 %","-1,15 %","20,88 %","133.592.570,94","73,63","0,98","0,95 %","-2,99 %","-2,07 %","4,04 %",3,"11,93",7.679,N/A,N/A,N/A
OUJP11,PAPÉIS,"97,20","551.842,62","0,99","0,90","0,91 %","2,98 %","6,24 %","13,93 %","0,99 %","1,04 %","1,16 %","13,93 %","0,53 %","1,45 %","14,49 %","318.875.355,39","98,04","0,99","1,02 %","-1,85 %","-0,85 %","13,94 %",0,"13,96",29.388,N/A,N/A,N/A
OULG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"32,22","256.528,76","0,48","0,30","0,95 %","3,11 %","6,15 %","12,38 %","1,04 %","1,03 %","1,03 %","11,43 %","-15,76 %","-14,96 %","-17,38 %","167.491.087,22","67,50","0,48","0,44 %","0,88 %","1,33 %","-6,19 %",2,"20,48",5.217,N/A,N/A,N/A
OURE11,MISTO,"75,39","101.476,57","0,82","0,80","1,10 %","3,18 %","6,28 %","13,96 %","1,06 %","1,05 %","1,16 %","12,75 %","-3,87 %","-2,82 %","0,17 %","98.600.435,74","91,54","0,82","0,87 %","0,56 %","1,44 %","12,73 %",4,"17,72",6.272,N/A,N/A,N/A
PABY11,FUNDO DE DESENVOLVIMENTO,"17,24","839,52",N/A,"0,13",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"-16.094.640,69","251,42","0,07","0,00 %","1,74 %","1,74 %","5,49 %",15,"68,79",667,N/A,N/A,N/A
PATB11,LAJES CORPORATIVAS,N/A,N/A,N/A,"5,90","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"680.195.018,95",N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,55,N/A,N/A,N/A
PATC11,FUNDO DE DESENVOLVIMENTO,"38,79","544.845,48","0,92","1,70","4,36 %","10,93 %","15,41 %","21,40 %","3,64 %","2,57 %","1,78 %","22,94 %","-2,26 %","2,01 %","-28,07 %","147.239.018,88","42,34","0,92","3,54 %","-44,57 %","-42,61 %","-45,21 %",4,"42,15",7.038,N/A,N/A,N/A
PATL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"68,15","921.844,95","0,69","0,60","0,87 %","2,72 %","5,18 %","10,47 %","0,91 %","0,86 %","0,87 %","10,47 %","9,00 %","9,95 %","8,89 %","490.856.874,31","98,34","0,69","0,61 %","0,22 %","0,84 %","8,40 %",4,"24,34",24.292,N/A,N/A,N/A
PCAS11,INDEFINIDO,N/A,N/A,N/A,"1.000,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"445.671.092,18",N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,50,N/A,N/A,N/A
PEMA11,PAPÉIS,"47,00","1.194,07","0,66","0,42","0,90 %","4,27 %","7,45 %","16,56 %","1,42 %","1,24 %","1,38 %","16,56 %","2,09 %","3,00 %","-26,55 %","39.046.057,46",N/A,N/A,N/A,N/A,N/A,N/A,0,"76,74",382,N/A,N/A,N/A
PFIN11,N/A,"71,99","980.332,95",N/A,"2,10","3,01 %","6,09 %","10,58 %","24,67 %","2,03 %","1,76 %","2,24 %","7,52 %","-0,29 %","2,72 %","17,42 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"19,99",0,N/A,N/A,N/A
PICE11,N/A,"72,16","295.461,05",N/A,"0,60","0,86 %","2,62 %","4,92 %","10,59 %","0,87 %","0,82 %","0,88 %","9,62 %","4,29 %","5,19 %","-0,23 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"18,62",0,N/A,N/A,N/A
PLCA11,INDEFINIDO,"84,48","129.705,29","0,87","1,03","1,21 %","3,71 %","7,42 %","14,79 %","1,24 %","1,24 %","1,23 %","14,79 %","1,56 %","2,78 %","2,44 %","52.783.168,62","94,76","0,89","1,11 %","0,00 %","0,00 %","0,00 %",0,"29,63",2.064,N/A,N/A,N/A
PLCR11,PAPÉIS,"88,50","321.611,81","0,97","0,80","0,90 %","2,77 %","6,02 %","13,17 %","0,92 %","1,00 %","1,10 %","13,17 %","1,26 %","2,17 %","19,77 %","193.753.529,55","91,86","0,96","0,87 %","1,29 %","2,17 %","12,47 %",0,"10,20",17.090,N/A,N/A,N/A
PLOG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"66,71","70.165,04","0,63","0,70","0,99 %","3,05 %","6,10 %","12,13 %","1,02 %","1,02 %","1,01 %","4,09 %","2,01 %","3,02 %","0,55 %","79.648.071,76","100,39","0,66","0,75 %","-0,02 %","0,72 %","8,77 %",1,"16,63",3.284,N/A,N/A,N/A
PLRI11,PAPÉIS,"15,52","839,93","0,54","0,20",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"27.292.301,42","28,60","0,54","1,37 %","-11,07 %","-9,85 %","-23,32 %",0,"55,20",704,N/A,N/A,N/A
PMFO11,MISTO,N/A,N/A,N/A,"0,88","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"47.903.229,97",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,92,N/A,N/A,N/A
PNCR11,IMÓVEIS RESIDENCIAIS,"87,17","174.340,00","1,00","0,74","0,00 %","1,71 %","1,71 %","1,71 %","0,57 %","0,29 %","0,24 %","1,71 %","0,00 %","0,00 %",N/A,"43.561.122,50",N/A,N/A,N/A,N/A,N/A,N/A,0,"88,19",110,N/A,N/A,N/A
PNDL11,FUNDO DE DESENVOLVIMENTO,"1.300,00","1.402.295,33","1,24","3,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"124.392.497,86",N/A,N/A,N/A,N/A,N/A,N/A,0,"49,11",59,N/A,N/A,N/A
PNRC11,INDEFINIDO,"102,49","153.735,00","1,01","1,19","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"41.736.625,98",N/A,N/A,N/A,N/A,N/A,N/A,0,"1,53",60,N/A,N/A,N/A
PORD11,PAPÉIS,"91,35","760.918,52","0,94","1,01","1,11 %","3,37 %","6,69 %","13,92 %","1,12 %","1,12 %","1,16 %","13,92 %","3,03 %","4,17 %","14,82 %","364.772.501,56","97,84","0,93","1,00 %","-0,27 %","0,73 %","11,60 %",0,"12,22",26.808,N/A,N/A,N/A
PPEI11,N/A,"94,36","378.868,67",N/A,"4,00","4,40 %","13,84 %","19,67 %","19,67 %","4,61 %","4,92 %","4,92 %","9,02 %","4,99 %","9,61 %","19,61 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"19,37",0,N/A,N/A,N/A
PQAG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"59,45","7.097,88","1,02","0,45","0,76 %","2,32 %","4,66 %","9,62 %","0,77 %","0,78 %","0,80 %","9,62 %","2,55 %","3,33 %","18,08 %","799.185.336,91","57,12","1,04","0,79 %","-0,24 %","0,54 %","10,45 %",1,"16,85",477,N/A,N/A,N/A
PQDP11,SHOPPINGS,"1.920,00","132.780,62","0,62","18,47","0,95 %","2,51 %","5,22 %","10,96 %","0,84 %","0,87 %","0,91 %","10,96 %","-0,32 %","0,63 %","0,60 %","772.642.526,69","3.147,05","0,61","0,44 %","0,43 %","0,87 %","-2,49 %",1,"27,83",4.005,N/A,N/A,N/A
PRSV11,LAJES CORPORATIVAS,"61,98","3.914,88","0,30","14,10",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"40.121.295,65","364,23","0,17","0,44 %","-0,03 %","0,41 %","-3,81 %",1,"66,06",954,N/A,N/A,N/A
PRTS11,SHOPPINGS,"117,70",N/A,"1.961,67","0,05",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3.111.607,44",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,11,N/A,N/A,N/A
PVBI11,LAJES CORPORATIVAS,"104,04","4.957.448,05","1,04","0,70","0,68 %","2,05 %","4,04 %","8,05 %","0,68 %","0,67 %","0,67 %","8,05 %","2,21 %","2,90 %","19,29 %","1.303.106.055,22","100,19","1,04","0,70 %","-3,10 %","-2,42 %","5,90 %",3,"15,21",134.437,N/A,N/A,N/A
QAGR11,INDEFINIDO,"50,15","736.091,29","0,85","0,43","0,84 %","2,62 %","5,37 %","11,10 %","0,87 %","0,90 %","0,93 %","11,10 %","4,95 %","5,83 %","34,10 %","295.662.919,05","58,66","0,85","0,73 %","5,05 %","5,82 %","4,79 %",12,"10,60",21.977,N/A,N/A,N/A
QAMI11,PAPÉIS,"84,68","202.935,58","0,91","1,00","1,17 %","3,03 %","6,85 %","13,22 %","1,01 %","1,14 %","1,10 %","10,21 %","6,69 %","7,94 %","16,30 %","74.367.555,48","92,80","0,91","1,08 %","1,42 %","2,51 %","14,58 %",0,"19,13",1.440,N/A,N/A,N/A
QIRI11,PAPÉIS,"78,04","6.867,57","0,87","89,64","0,00 %","1,84 %","3,81 %","8,24 %","0,61 %","0,64 %","0,69 %","6,16 %","0,00 %","0,00 %",N/A,"13.441.852,95","89,61","0,87","100,03 %","-0,41 %","99,21 %","116,58 %",0,"9,65",173,N/A,N/A,N/A
RBCO11,LAJES CORPORATIVAS,N/A,N/A,N/A,"0,50","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,"90,22",N/A,"0,22 %","1,03 %","1,25 %","-7,08 %",0,N/A,0,N/A,N/A,N/A
RBDS11,FUNDO DE DESENVOLVIMENTO,"2,12","529,33","0,11","2,35","11,21 %","23,43 %","54,02 %","68,55 %","7,81 %","9,00 %","5,71 %","11,21 %","-51,20 %","-45,73 %","-45,73 %","2.749.914,12","22,98","0,09","0,00 %","0,00 %","0,00 %","0,00 %",0,"118,73",980,N/A,N/A,N/A
RBED11,EDUCACIONAL,"145,74","171.962,95","1,01","1,45","0,99 %","3,01 %","6,06 %","12,11 %","1,00 %","1,01 %","1,01 %","12,11 %","2,22 %","3,23 %","41,08 %","337.806.819,90","143,44","1,02","1,01 %","-0,44 %","0,56 %","13,11 %",7,"14,86",13.154,N/A,N/A,N/A
RBFF11,FUNDO DE FUNDOS,"60,71","544.040,43","0,89","0,52","0,85 %","2,55 %","5,01 %","10,78 %","0,85 %","0,84 %","0,90 %","10,78 %","2,21 %","3,08 %","28,23 %","253.448.406,95","67,60","0,90","0,75 %","5,91 %","6,71 %","14,18 %",0,"17,65",20.420,N/A,N/A,N/A
RBGS11,SHOPPINGS,"28,45",N/A,"0,31","0,18","0,62 %","1,58 %","2,72 %","6,17 %","0,53 %","0,45 %","0,51 %","5,10 %","-1,90 %","-1,29 %","-25,72 %","97.865.283,71","90,78","0,31","0,18 %","0,00 %","0,18 %","1,17 %",1,N/A,2.808,N/A,N/A,N/A
RBHG11,PAPÉIS,"91,64","307.160,19","1,00","1,05","1,14 %","3,47 %","6,97 %","14,48 %","1,16 %","1,16 %","1,21 %","14,48 %","1,16 %","2,31 %","23,26 %","157.347.201,54","91,08","1,01","1,15 %","-1,09 %","0,05 %","10,73 %",0,"10,66",9.775,N/A,N/A,N/A
RBHY11,PAPÉIS,"92,99","175.729,24","1,00","1,10","1,18 %","3,51 %","7,17 %","14,84 %","1,17 %","1,20 %","1,24 %","14,84 %","-0,74 %","0,43 %","11,11 %","176.544.456,95","93,24","1,00","1,18 %","-0,94 %","0,23 %","13,80 %",0,"11,03",3.566,N/A,N/A,N/A
RBIF11,FUNDO DE DESENVOLVIMENTO,"94,24","32.478,24",N/A,"0,94","0,98 %","2,74 %","4,86 %","9,40 %","0,91 %","0,81 %","0,78 %","9,99 %","1,39 %","2,38 %","12,27 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"31,06",0,N/A,N/A,N/A
RBIR11,FUNDO DE DESENVOLVIMENTO,"93,00","67.128,62","0,93","0,52",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"150.754.702,97",N/A,N/A,N/A,N/A,N/A,N/A,0,"28,34",1.604,N/A,N/A,N/A
RBLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"102,56","13.753,47","0,97","0,95","0,93 %","2,79 %","4,68 %","7,51 %","0,93 %","0,78 %","0,63 %","7,51 %","0,02 %","0,95 %","4,01 %","67.048.921,25","104,73","0,98","0,91 %","4,23 %","5,18 %","9,01 %",1,"34,75",218,N/A,N/A,N/A
RBOP11,LAJES CORPORATIVAS,"315,02","42.869,95","0,39","4,50","1,79 %","3,46 %","5,42 %","15,09 %","1,15 %","0,90 %","1,26 %","13,75 %","-11,16 %","-9,57 %","-53,22 %","85.000.535,49",N/A,N/A,N/A,N/A,N/A,N/A,2,"46,10",3.571,N/A,N/A,N/A
RBRD11,VAREJO,"40,93","34.189,67","0,62","0,34","0,00 %","1,69 %","4,35 %","9,75 %","0,56 %","0,73 %","0,81 %","9,84 %","0,00 %","0,00 %",N/A,"122.056.307,72","65,91","0,62","0,52 %","-0,42 %","0,09 %","-1,93 %",4,"27,27",8.893,N/A,N/A,N/A
RBRF11,FUNDO DE FUNDOS,"79,21","2.707.396,52","0,93","0,55","0,73 %","2,14 %","4,32 %","9,84 %","0,71 %","0,72 %","0,82 %","8,92 %","-2,86 %","-2,15 %","20,95 %","1.188.321.656,64","86,86","0,91","0,63 %","6,12 %","6,79 %","7,44 %",0,"18,88",107.170,N/A,N/A,N/A
RBRI11,FUNDO DE DESENVOLVIMENTO,"1.100,00","15.820,00","0,92","17,86",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"162.647.003,44",N/A,N/A,N/A,N/A,N/A,N/A,0,"136,48",87,N/A,N/A,N/A
RBRL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"89,98","1.016.232,95","0,85","0,72","0,84 %","2,49 %","4,68 %","9,54 %","0,83 %","0,78 %","0,80 %","8,74 %","0,74 %","1,58 %","15,11 %","704.727.493,08","105,39","0,85","0,68 %","-1,74 %","-1,07 %","6,98 %",6,"18,92",13.564,N/A,N/A,N/A
RBRM11,FUNDO DE DESENVOLVIMENTO,"94.794,81",N/A,"3,59","2.002,09","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"14.218.338,14",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,54,N/A,N/A,N/A
RBRP11,LAJES CORPORATIVAS,"55,67","1.488.044,43","0,67","0,28","0,54 %","1,55 %","2,83 %","6,21 %","0,52 %","0,47 %","0,52 %","5,65 %","0,66 %","1,21 %","13,92 %","1.000.784.590,56","82,17","0,68","0,34 %","0,58 %","0,92 %","4,90 %",10,"28,02",87.577,N/A,N/A,N/A
RBRR11,PAPÉIS,"90,71","3.049.860,71","0,95","0,65","0,75 %","2,19 %","4,57 %","11,21 %","0,73 %","0,76 %","0,93 %","10,18 %","-3,99 %","-3,27 %","8,35 %","1.434.344.394,05","95,34","0,95","0,68 %","1,35 %","2,04 %","5,03 %",0,"15,80",137.838,N/A,N/A,N/A
RBRS11,FUNDO DE DESENVOLVIMENTO,"54,60","94.487,79","0,57","0,75","1,42 %","2,86 %","5,04 %","9,81 %","0,95 %","0,84 %","0,82 %","8,10 %","-4,69 %","-3,34 %","6,37 %","165.188.239,98","94,33","0,58","0,42 %","0,26 %","0,68 %","6,71 %",2,"38,66",1.222,N/A,N/A,N/A
RBRX11,INDEFINIDO,"9,49","405.364,14","0,10","0,10","1,08 %","3,29 %","6,88 %","15,13 %","1,10 %","1,15 %","1,26 %","13,47 %","0,00 %","1,08 %","16,86 %","182.674.169,81",N/A,N/A,N/A,N/A,N/A,N/A,0,"13,91",7.498,N/A,N/A,N/A
RBRY11,PAPÉIS,"100,69","2.587.722,90","1,02","1,00","1,01 %","3,19 %","6,80 %","14,27 %","1,06 %","1,13 %","1,19 %","13,14 %","-1,52 %","-0,52 %","16,67 %","988.310.254,79","98,39","1,02","1,02 %","-1,50 %","-0,50 %","4,64 %",0,"13,90",49.753,N/A,N/A,N/A
RBTS11,FUNDO DE DESENVOLVIMENTO,"720,00","179.063,63","1,12","23,00","2,56 %","2,56 %","2,56 %","2,56 %","0,85 %","0,43 %","0,21 %","2,56 %","0,00 %","0,00 %",N/A,"36.184.728,16","640,15","1,12","3,59 %","-41,47 %","-39,37 %","-27,97 %",0,"84,84",62,N/A,N/A,N/A
RBVA11,VAREJO,"113,12","1.550.810,90","1,05","1,00","0,88 %","2,71 %","5,39 %","11,38 %","0,90 %","0,90 %","0,95 %","11,38 %","5,75 %","6,68 %","37,91 %","1.245.926.066,26","107,52","1,05","0,93 %","-1,70 %","-0,79 %","18,12 %",54,"12,28",47.973,N/A,N/A,N/A
RBVO11,PAPÉIS,"8,49","1.496,62","0,51","0,04","0,41 %","1,13 %","1,95 %","2,73 %","0,38 %","0,33 %","0,23 %","2,73 %","-0,71 %","-0,30 %","-17,87 %","8.734.040,91","16,93","0,50","0,18 %","-2,31 %","-2,14 %","-24,23 %",0,"37,45",2.496,N/A,N/A,N/A
RCFF11,FUNDO DE FUNDOS,"98,99","40.843,09","0,97","1,23","1,32 %","1,32 %","4,19 %","4,19 %","0,44 %","0,84 %","0,84 %","1,32 %","0,00 %","0,00 %",N/A,"32.935.678,25","91,47","1,08","1,35 %","-2,74 %","-1,44 %","0,33 %",0,"104,57",83,N/A,N/A,N/A
